table_name,description
admissions,"Graduate admission applications. Columns: panther_id, name, program, term (PK with program), concentration, email, GRE/TOEFL/IELTS, GPA, faculty1-3, race, ethnicity, citizenship, college history (3), applicant_id (unique), admit_status, differed_status (array), graduation_status, timestamps. Purpose: one row per applicant per term per program."
advisor_assignment_requests,"Advisor change requests. Columns: request_id, student_panther_id, requested_faculty_panther_id, current_faculty_panther_id, status (default pending), faculty_message, admin_comments, resolved_by, timestamps. Purpose: track and resolve advisor change workflow."
audit,"Audit log. Columns: id, table_name, columns_affected, changes, user_panther_id, created_date. Purpose: who changed which table/columns and when."
courses,"Course catalog. Columns: course_id, crn, subject, course, section, credit, title, gta_hours (default 20), timestamps. Purpose: master courses for schedule and GTA assignment."
courses_schedule,"Scheduled sections per term. Columns: courses_schedule_id, course_id, faculty_email, term_id, campus_id, section/crosslist actual and remaining, comments, location, instance, days, start_time, end_time, timestamps. Purpose: term schedule and GTA assignment."
cpt,"CPT applications. Columns: cpt_id, panther_id, term_id, cpt_description, advisor_id, decision_date, dgs_status, advisor_status, advisor_comments, file_path, start/end_date, company details, job_type, salary, signature, submit_date, has_registered_course, credit_hours, has_completed_istart, timestamps. Purpose: CPT requests and advisor/DGS decisions."
email_templates,"Email templates. Columns: template_id, template_label, template_subject, template_body, timestamps. Purpose: reusable text for system emails."
evaluation_criteria_lor_sop_finaid_rec,"Lookup for evaluation outcomes (LOR, SOP, financial aid, recommendation). Columns: evaluation_criteria_id, evaluation_criteria_value, timestamps. Purpose: referenced by studentevaluation for faculty/DGS decisions."
faculty,"Faculty directory. Columns: panther_id, name, email, mobile_number, department, location, available_for_review, status, research_interest, timestamps. Purpose: faculty for admissions, advising, GTA, CPT, RCL."
faculty_preferred_ta,"Faculty TA preferences. Columns: faculty_preferred_ta_id, f_panther_id, s_panther_id, timestamps. Purpose: which students faculty prefer as TAs."
foundation_courses,"Foundation course flags per student. Columns: panther_id (PK), applicant_id, booleans for csc_7301, csc_7510, csc_7302, csc_7520, csc_7320, csc_7220, calculus, csc_6350, timestamps. Purpose: DGS foundation-course decisions."
gta_assignment,"GTA-to-course assignments. Columns: gta_assignment_id, gta_type, s_panther_id, f_panther_id, course_id, term_id, assigned_hours, email_sent, timestamps. Purpose: which student is GTA for which course/faculty per term."
gta_lookup,"GTA status lookup. Columns: gta_lookup_id, gta_lookup_value, timestamps. Purpose: gtaapplication.status references this."
gtaapplication,"GTA applications per term. Columns: ga_applicationid, panther_id, term, has_assistantship, assistantship_title, preferred/tentative_courses, current_gpa, submit_evaluation, other-dept assistantship fields, status (FK gta_lookup), rejection_reason (FK rejection_reason_lookup), is_publish, is_accept, file_path, courses_worked, timestamps. Purpose: student GTA application and status."
notifications,"In-app notifications. Columns: userid, notification_id, seen, created_date, updated_date, notification_msg. Purpose: per-user notifications."
offer_letter,"Offer letter per evaluation. Columns: panther_id, evaluation_id, offer_type, offer_amount, start_date, end_date, offer_letter_sent, created_date, updated_date. PK (panther_id, evaluation_id, offer_letter_sent). FK evaluation_id to studentevaluation. Purpose: track offer amount and whether letter sent."
outside_dept_hire,"Outside-department hire applications. Columns: odh_id, student info, term_id, duration, file_path, department/supervisor info, waiver_by_home, application_status, home_dept approval/signature/comments, enrollment/academic/tuition/appointment/position, term, year, credit_hours, total_fte, funding/speedtype/compensation (1 and 2), waiver_type, signatures (student, hiring, budget, dean), gpa, timestamps. Purpose: ODH form and approvals."
rcl,"Reduced Course Load applications. Columns: rcl_id, panther_id, term_id, name, email, degree, advisor_id, submit_date, decision_date, dgs_status, advisor_status, has_completed_istart, plan_of_study_path, transcript_path, advisor_comments, rcl_reason, timestamps. Purpose: RCL requests and advisor/DGS decisions."
rejection_reason_lookup,"Rejection reason lookup. Columns: rejection_reason_lookup_id, rejection_reason_lookup_value, timestamps. Purpose: gtaapplication.rejection_reason."
required_courses,"Required courses per applicant. Columns: panther_id, applicant_id (PK), data_structure, software_engineering, algorithm_analysis, operating_system, programming_language, computer_architecture, automata, calculus, discrete_mathematics, timestamps. Purpose: faculty/DGS required-course decisions."
staff,"Staff directory. Columns: panther_id, name, email, mobile_number, department, location, status, timestamps. Purpose: staff identity and access."
student_funding_appointments,"Funding appointments per student. Columns: stipend_id, s_panther_id, term_id or year, stipend_amount, start_date, end_date, appointment_type, appointment_duration (semester|annual), appointment_status (pending|rejected|approved|scheduled|completed), working_hours_per_week, f_panther_id, notes, admin_notes, timestamps. Constraint: semester uses term_id; annual uses year. Purpose: one appointment per student per term/year."
student_funding_speedtypes,"Speedtype lines for appointments. Columns: funding_id, panther_id, stipend_id, amount, speed_type, is_active, start_date, end_date, timestamps. Purpose: funding sources per appointment; trigger checks total."
student_info,"Master student record. Columns: panther_id, name, email, degree, major, concentration, college, department, location, position, status (active/inactive), status_lookup_id, advisor (academic advisor), start_Term, grad_term, financial_aid, employee_status, appointment_type, suggested_stipend_amount, appointment_duration, timestamps. Purpose: central student profile."
student_registered_courses,"Registered courses per study plan. Columns: panther_id, term_id, course_id (array), study_plan_id (PK), timestamps. FK panther_id to studyplan. Purpose: enrollment per term (e.g. CPT)."
student_status_lookup,"Student status lookup. Columns: status_lookup_id, status_lookup_value (unique), timestamps. Purpose: student_info.status_lookup_id."
studentevaluation,"Faculty/DGS admission evaluations. Columns: evaluation_id, s_panther_id, f_panther_id, term, program, lor1-3, sop, recommendation (faculty decision), financial_aid, admission_decision, afinaid, comments, advisor_comments, status, dates, recommend_to_dashboard, has_updated_to_slatesystem, timestamps. Purpose: one evaluation per student per faculty per term; triggers update admissions and student_info."
studyplan,"Plan of study. Columns: panther_id (PK), approval, thesis, committee_chair, faculty_member, director, project_type, project_name, academic_progress (courses taken), masters_along_the_way, timestamps. Purpose: degree plan; student_registered_courses links via panther_id."
term,"Academic terms. Columns: term_id, term, start_day, end_day, is_gta_applications_open, gta_application_start_day, gta_application_end_day, timestamps. Purpose: used by admissions, GTA, schedule, funding, CPT, RCL."
user_roles,"Role lookup. Columns: user_roles_id, role, timestamps. Purpose: users.role and access control."
users,"System users. Columns: id, panther_id, role (FK user_roles), campus_id, active, updated_mandatory_info, created_date, updated_date, updated_user. Purpose: login and updated_user references across schema."
waiver_request_form,"Waiver requests. Columns: waiver_id, panther_id, name, email, degree, advisor, status, admin_signature, submit_date, supporting_doc, comments, action_required, timestamps. Purpose: waiver submissions and admin actions."
